0:	0.000000000000E+00
1:	1.320780206159E-18
2:	5.015908188375E-18
3:	6.247457953402E-18
4:	8.433752151670E-18
5:	1.013255070485E-17
6:	1.516484567403E-17
7:	1.672600551698E-17
8:	1.906483096963E-17
9:	2.269102136248E-17
10:	3.164987550409E-17
11:	3.315560897308E-17
12:	3.312661894644E-17
13:	3.766340858227E-17
14:	4.210316492372E-17
15:	4.741216048374E-17
16:	4.995986808377E-17
17:	5.380532671450E-17
18:	6.293828037908E-17
19:	6.620621772209E-17
20:	6.901838850829E-17
21:	7.448353240670E-17
22:	7.948564820719E-17
23:	8.224475651957E-17
24:	8.736544078203E-17
25:	9.403605737153E-17
26:	1.007044075358E-16
27:	1.050454451260E-16
28:	1.076318842083E-16
29:	1.138818473067E-16
30:	1.204513365293E-16
31:	1.250515061921E-16
32:	1.290026661900E-16
33:	1.349269774538E-16
34:	1.413449874450E-16
35:	1.463161388194E-16
36:	1.532514950450E-16
37:	1.612578431993E-16
38:	1.695685099209E-16
39:	1.764918473323E-16
40:	1.828442002806E-16
41:	1.872949589657E-16
42:	1.955988150263E-16
43:	2.072381521429E-16
44:	2.162120337582E-16
45:	2.217554773386E-16
46:	2.314533056644E-16
47:	2.429983091833E-16
48:	2.504599271755E-16
49:	2.604836361841E-16
50:	2.719282315037E-16
51:	2.804201302756E-16
52:	2.899386028237E-16
53:	3.023012539416E-16
54:	3.115572490932E-16
55:	3.199399149429E-16
56:	3.283028603910E-16
57:	3.368737591838E-16
58:	3.438841307446E-16
59:	3.609759079301E-16
60:	3.761927243903E-16
61:	3.917718958558E-16
62:	4.049586993535E-16
63:	4.145223335291E-16
64:	4.246514226551E-16
65:	4.357782865361E-16
66:	4.472692977061E-16
67:	4.619055279553E-16
68:	4.778581348062E-16
69:	4.907142862826E-16
70:	5.024253862078E-16
71:	5.141209025976E-16
72:	5.258295124521E-16
73:	5.391868759964E-16
74:	5.515713172555E-16
75:	5.649561920477E-16
76:	5.790955113843E-16
77:	5.938108903651E-16
78:	6.084266374153E-16
79:	6.248667527299E-16
80:	6.420400659257E-16
81:	6.579008158236E-16
82:	6.716766307984E-16
83:	6.863053120280E-16
84:	7.010339826697E-16
85:	7.154069593068E-16
86:	7.286193592601E-16
87:	7.429150666756E-16
88:	7.562717927431E-16
89:	7.693119773078E-16
90:	7.820464957455E-16
91:	7.938612963761E-16
92:	8.075007643676E-16
93:	8.195941111558E-16
94:	8.315391404321E-16
95:	8.426803653141E-16
96:	8.540953219125E-16
97:	8.650475126914E-16
98:	8.761471215837E-16
99:	8.876587329187E-16
100:	8.986351352863E-16
101:	9.092855926814E-16
102:	9.204243175359E-16
103:	9.309076455560E-16
104:	9.397514793462E-16
105:	9.475105549976E-16
106:	9.529872858360E-16
107:	9.572565729519E-16
108:	9.613630054724E-16
109:	9.647637309346E-16
110:	9.675612746444E-16
111:	9.705319789528E-16
112:	9.715648887859E-16
113:	9.719957103522E-16
114:	9.713545900323E-16
115:	9.699883089361E-16
116:	9.678667577533E-16
117:	9.649797187205E-16
118:	9.608786127415E-16
119:	9.567025482002E-16
120:	9.518425580559E-16
121:	9.475647306798E-16
122:	9.459134689087E-16
123:	9.462607695540E-16
124:	9.481712276397E-16
125:	9.517648764130E-16
126:	9.546584317099E-16
127:	9.562802951093E-16
128:	9.543837264476E-16
129:	9.498130285901E-16
130:	9.436344380488E-16
131:	9.380213685878E-16
132:	9.317957448532E-16
133:	9.259608082139E-16
134:	9.194509378881E-16
135:	9.109596086560E-16
136:	9.016917082238E-16
137:	8.926454225332E-16
138:	8.841002383237E-16
139:	8.745061703005E-16
140:	8.639788625472E-16
141:	8.541808010652E-16
142:	8.454764012724E-16
